year,month,day,hour,minute,lat,lon,node_1,node_2
2020,8,21,21,23,40.69336,-73.97585,42494845,42517021
2020,8,15,18,30,40.76271,-73.762405,42786264,42817880
2020,7,22,11,30,40.59907,-73.90498,452271525,452271935
2020,7,29,16,32,40.718445,-73.808624,42865438,42865441
2020,7,17,0,55,40.90316,-73.84599,42761924,42763672
2020,7,19,12,0,40.85537,-73.90473,42733833,42736304
2020,7,9,21,20,40.711033,-73.7281,279178078,279179012
2020,7,25,14,15,40.674397,-73.896515,42495624,42511287
2020,8,11,9,55,40.87673,-73.847305,42745546,42769657
2020,8,1,20,50,40.818623,-73.921486,42735697,42750598
2020,7,19,16,54,40.59793,-73.9855,42488037,42503055
2020,7,29,14,15,40.857418,-73.899956,42741279,2025165417
2020,8,5,12,9,40.532482,-74.2031,42994627,43013138
2020,7,30,10,3,40.84731,-73.9149,42758058,42770697
2020,7,22,19,18,40.73444,-73.72179,42789907,42930722
2020,8,2,20,18,40.640373,-73.89702,42494116,42512644
2020,8,18,20,0,40.88279,-73.869644,42739330,42741759
2020,8,11,20,37,40.801155,-73.959656,42435359,42447308
2020,8,17,20,53,40.73646,-73.86576,42815354,42858972
2020,7,20,15,0,40.693863,-73.92598,42509628,42512274
2020,8,19,12,6,40.785805,-73.97268,42443349,42442475
2020,7,23,14,45,40.716652,-73.8259,42803370,280637997
2020,8,20,11,10,40.814144,-73.95571,42442586,42446218
2020,8,14,1,30,40.611313,-74.09844,42968936,4232348824
2020,7,26,16,0,40.679234,-73.96729,42526333,42469640
2020,8,4,15,49,40.598557,-74.081764,42988327,42987570
2020,8,20,17,35,40.699406,-73.95338,42481529,42504075
2020,8,15,10,28,40.836132,-73.94208,42442671,561035376
2020,8,3,19,38,40.855785,-73.90558,42736304,42745951
2020,7,29,1,57,40.689445,-73.95513,42520251,42520247
2020,7,10,10,15,40.706142,-73.83177,42843861,42890737
2020,7,23,20,50,40.851433,-73.927086,42436283,42436285
2020,7,5,16,15,40.75469,-73.99536,4785165288,42444964
2020,7,13,1,43,40.6631,-73.95718,42481965,42520322
2020,7,7,11,12,40.636574,-74.019196,42465525,42465530
2020,7,5,5,15,40.668667,-73.868324,42472549,1942055269
2020,8,1,6,0,40.690796,-73.95637,42492119,42521443
2020,8,14,20,40,40.74255,-73.93116,42860591,42880290
2020,6,30,6,30,40.788906,-73.93765,371209940,371239958
2020,7,13,23,30,40.70219,-73.928345,42486715,42496649
2020,8,4,2,53,40.875042,-73.91228,42427939,42427936
2020,8,11,11,59,40.665627,-73.92045,42460715,42486287
2020,8,17,17,10,40.652462,-73.92285,42497476,1942053799
2020,8,20,6,45,40.740692,-73.84418,42802490,42795228
2020,7,5,1,46,40.664604,-73.97685,42476119,42476123
2020,7,2,11,20,40.846733,-73.90649,42740532,42740535
2020,7,16,17,20,40.753998,-73.94244,42825882,42895303
2020,7,8,15,1,40.603004,-73.96156,42489227,42517192
2020,8,17,8,40,40.61895,-73.92689,42521029,42533309
2020,7,27,15,57,40.648125,-73.95822,42478783,42491711
2020,7,6,8,50,40.667027,-73.911026,42500870,42504488
2020,7,10,0,0,40.82526,-73.887215,42782029,42782063
2020,8,18,20,27,40.616547,-73.92764,42489546,42533484
2020,8,6,0,30,40.83442,-73.86297,42759319,42768988
2020,8,4,16,55,40.743874,-73.78288,42815616,42815619
2020,7,15,11,19,40.747814,-73.9405,2971840925,2971841358
2020,8,19,11,22,40.745728,-73.823105,42824570,42935940
2020,7,9,10,58,40.85977,-73.84643,42738491,42738494
2020,8,19,6,29,40.801685,-73.91734,42743550,1104953196
2020,7,13,8,0,40.57761,-73.96631,42492753,42467653
2020,7,11,1,12,40.74165,-73.716576,42819062,42819065
2020,8,9,14,11,40.842773,-73.922806,3001741334,3001741335
2020,8,19,15,20,40.812717,-73.95674,42421852,42442584
2020,8,7,23,0,40.681988,-73.83698,42906217,42906219
2020,8,13,18,38,40.857838,-73.932045,42427780,42429104
2020,7,29,13,31,40.780155,-73.84151,42894506,42894508
2020,7,15,16,30,40.8178,-73.9456,42435852,42439598
2020,7,2,17,55,40.671528,-73.81573,42878420,42906762
2020,7,1,11,50,40.702255,-73.92008,42536210,42511930
2020,8,14,14,20,40.656483,-73.96008,42491686,42491688
